date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE,DailyReturn
2005-09-02,2325,18085070,548222399,30.95,30.95,29.8,30.2,0.95,3148,2005,17.06,2.03,233.0,7036.599999999999,1.9261026517511368,0,0,
2005-09-05,2325,12122276,364240284,30.3,30.4,29.75,30.0,-0.2,2126,2005,17.65,2.01,233.0,6990.0,1.913347005050798,0,0,-0.006622516556291367
2005-09-06,2325,17010372,521836119,30.4,31.2,30.3,31.0,1.0,3105,2005,18.24,2.08,233.0,7223.0,1.9771252385524916,0,0,0.03333333333333333
2005-09-07,2325,18556019,580535164,31.3,31.6,30.85,31.3,0.3,3354,2005,18.41,2.1,233.0,7292.900000000001,1.9962587086029997,0,0,0.009677419354838733
2005-09-08,2325,12837767,406908429,31.6,31.9,31.4,31.75,0.45,2646,2005,18.68,2.13,233.0,7397.75,2.0249589136787614,0,0,0.014376996805111798
2005-09-09,2325,14241628,454572699,32.0,32.05,31.6,31.95,0.2,2658,2005,18.79,2.14,233.0,7444.349999999999,2.0377145603791,0,0,0.006299212598425174
2005-09-12,2325,30513310,1009797364,32.45,33.7,32.45,33.65,1.7,5513,2005,19.79,2.26,233.0,7840.45,2.1461375573319788,0,0,0.053208137715179946
2005-09-13,2325,12930775,431538733,33.65,33.75,32.9,33.0,-0.65,3211,2005,19.41,2.21,233.0,7689.0,2.104681705555878,0,0,-0.019316493313521504
2005-09-14,2325,17174213,563645819,33.2,33.6,32.4,32.5,-0.5,3626,2005,19.12,2.18,233.0,7572.5,2.072792588805031,0,0,-0.015151515151515152
2005-09-15,2325,17144102,560590762,32.5,33.15,32.45,32.5,0.0,3467,2005,19.12,2.18,233.0,7572.5,2.072792588805031,0,0,0.0
2005-09-16,2325,10031560,325585491,32.6,32.85,32.15,32.4,-0.1,2240,2005,19.06,2.17,233.0,7549.2,2.066414765454862,0,0,-0.0030769230769231207
2005-09-19,2325,9358962,308347814,32.6,33.25,32.55,33.1,0.7,2453,2005,19.47,2.22,233.0,7712.3,2.1110595289060474,0,0,0.021604938271605027
2005-09-20,2325,13905601,458732998,32.95,33.5,32.4,33.0,-0.1,3562,2005,19.41,2.21,233.0,7689.0,2.104681705555878,0,0,-0.0030211480362538194
2005-09-21,2325,21115555,704611675,33.4,33.75,33.0,33.0,0.0,4193,2005,19.41,2.21,233.0,7689.0,2.104681705555878,0,0,0.0
2005-09-22,2325,15457457,509506026,32.8,33.3,32.75,32.8,-0.2,3142,2005,19.29,2.2,233.0,7642.4,2.0919260588555395,0,0,-0.0060606060606061465
2005-09-23,2325,21844748,706925304,32.9,33.2,31.8,32.0,-0.8,4492,2005,18.82,2.15,233.0,7456.0,2.0409034720541848,0,0,-0.02439024390243894
2005-09-26,2325,16035094,509483741,32.0,32.25,31.4,31.7,-0.3,3241,2005,18.65,2.13,233.0,7386.099999999999,2.021770002003677,0,0,-0.009375000000000022
2005-09-27,2325,16358867,531216251,32.0,32.9,31.8,32.75,1.05,4118,2005,19.26,2.2,233.0,7630.75,2.0887371471804546,0,0,0.033123028391167215
2005-09-28,2325,7887353,258289754,32.8,32.95,32.5,32.7,-0.05,2051,2005,19.24,2.19,233.0,7619.1,2.08554823550537,0,0,-0.0015267175572518216
2005-09-29,2325,14862163,495881725,32.7,33.6,32.7,33.4,0.7,2977,2005,19.65,2.24,233.0,7782.2,2.130192998956556,0,0,0.021406727828746044
2005-09-30,2325,21492233,727751918,33.6,34.2,33.5,33.5,0.1,3895,2005,19.71,2.25,233.0,7805.5,2.136570822306725,0,0,0.002994011976047947
2005-10-03,2325,27151128,935483012,33.9,34.9,33.9,34.9,1.4,5538,2005,20.53,2.34,233.0,8131.7,2.159560780334503,0,0,0.04179104477611936
2005-10-04,2325,18598435,649582715,35.0,35.35,34.45,34.45,-0.45,4457,2005,20.26,2.31,233.0,8026.85,2.1317154407599896,0,0,-0.012893982808022801
2005-10-05,2325,20124322,699733294,34.65,35.2,34.4,34.6,0.15,3647,2005,20.35,2.32,233.0,8061.8,2.1409972206181607,0,0,0.004354136429608086
2005-10-06,2325,19346462,667848955,34.3,34.9,33.9,34.9,0.3,3279,2005,20.53,2.34,233.0,8131.7,2.159560780334503,0,0,0.00867052023121379
2005-10-07,2325,8117756,280607736,34.9,34.9,34.15,34.45,-0.45,2389,2005,20.26,2.31,233.0,8026.85,2.1317154407599896,0,0,-0.012893982808022801
2005-10-11,2325,11933574,412296448,34.6,34.8,34.35,34.5,0.05,2138,2005,20.29,2.32,233.0,8038.5,2.13480936737938,0,0,0.0014513788098692933
2005-10-12,2325,24857638,824813971,34.4,34.4,32.3,32.8,-1.7,4193,2005,19.29,2.2,233.0,7642.4,2.029615862320106,0,0,-0.049275362318840665
2005-10-13,2325,34021995,1069883947,31.65,32.0,30.6,31.85,-0.95,5753,2005,18.74,2.14,233.0,7421.05,1.9708312565516883,0,0,-0.028963414634146215
2005-10-14,2325,14897724,477095377,31.95,32.55,31.5,32.3,0.45,4386,2005,19.0,2.17,233.0,7525.9,1.998676596126202,0,0,0.014128728414442565
2005-10-17,2325,11872851,377318804,32.55,32.55,31.2,31.2,-1.1,3057,2005,18.35,2.09,233.0,7269.599999999999,1.930610210499613,0,0,-0.0340557275541795
2005-10-18,2325,16458179,530806794,31.4,32.55,31.3,32.4,1.2,3905,2005,19.06,2.17,233.0,7549.2,2.004864449364983,0,0,0.03846153846153844
2005-10-19,2325,15235908,480706920,32.0,32.0,31.15,31.15,-1.25,3353,2005,18.32,2.09,233.0,7257.95,1.927516283880223,0,0,-0.03858024691358025
2005-10-20,2325,20004984,629132382,31.2,31.9,31.05,31.9,0.75,3948,2005,18.76,2.14,233.0,7432.7,1.973925183171079,0,0,0.024077046548956663
2005-10-21,2325,11845718,373406548,31.2,31.8,30.9,31.7,-0.2,2455,2005,18.65,2.13,233.0,7386.099999999999,1.961549476693517,0,0,-0.006269592476489006
2005-10-24,2325,13919424,446980612,31.9,32.4,31.8,32.0,0.3,2940,2005,18.82,2.15,233.0,7456.0,1.98011303640986,0,0,0.009463722397476363
2005-10-25,2325,20087804,652962551,33.0,33.0,31.9,32.0,0.0,4084,2005,18.82,2.15,233.0,7456.0,1.98011303640986,0,0,0.0
2005-10-26,2325,61364055,1853716038,31.8,31.8,29.8,29.8,-2.2,9200,2005,17.53,2.0,233.0,6943.400000000001,1.8439802651566817,0,0,-0.06874999999999998
2005-10-27,2325,63157158,1843463671,29.0,29.95,28.4,29.1,-0.7,8870,2005,17.12,1.95,233.0,6780.3,1.800665292485216,0,0,-0.023489932885906017
2005-10-28,2325,30351182,892817700,29.2,29.95,29.1,29.1,0.0,6103,2005,17.12,1.82,233.0,6780.3,1.800665292485216,0,0,0.0
2005-10-31,2325,34489006,1033160410,29.6,30.3,29.55,30.1,1.0,5802,2005,14.0,1.88,233.0,7013.3,1.862543824873024,0,0,0.034364261168384876
2005-11-01,2325,22811143,685317656,30.4,30.45,29.7,29.9,-0.2,4978,2005,13.91,1.87,233.0,6966.7,1.8501681183954624,0,0,-0.006644518272425343
2005-11-02,2325,23142770,706694188,30.0,30.9,30.0,30.85,0.95,5308,2005,14.35,1.93,233.0,7188.05,1.8441198027123664,0,0,0.03177257525083622
2005-11-03,2325,19388199,599330107,31.1,31.25,30.5,30.5,-0.35,4480,2005,14.19,1.91,233.0,7106.5,1.8231978600559864,0,0,-0.011345218800648343
2005-11-04,2325,18765056,581057029,30.9,31.3,30.65,30.95,0.45,3930,2005,14.4,1.94,233.0,7211.349999999999,1.850097500614189,0,0,0.014754098360655714
