平均報酬率,標準差,最大報酬率,最小報酬率,最大報酬率年份,最小報酬率年份,準確率
1.1791654789580872,0.41456228060508954,2.133861419430365,0.5200611361143586,2008,2007,0.5135841170323929
1.154547627100572,0.5160830264584407,2.4504659509876303,0.5187224874278332,2007,2006,0.5369204350314826
1.2415949338267367,0.39076193164517925,2.042359793477176,0.5590989610961373,2006,2005,0.538558786346397
1.2268410440707227,0.39381521945022036,2.057986963516481,0.5682405217080241,2005,2004,0.5284495021337127
1.259117550812993,0.42332945487780144,2.084208423493323,0.54375983285145,2004,2003,0.5266558966074314
1.2774553214913669,0.5326676680003508,2.2993418280693363,0.5106437337205278,2003,2002,0.5449385052034059
1.283170814866309,0.5679075006123265,2.2847804595506904,0.5190310068392462,2002,2001,0.5542857142857143
1.3735791665936241,0.6303151637437933,2.286876550586885,0.5278748078077653,1999,1998,0.5266187050359712
1.3010332523145944,0.7045083995512235,2.2274761029941534,0.5203596874704656,1999,1998,0.48484848484848486
1.3833426906904744,0.848131527112963,2.2314742178034375,0.5352111635775113,1999,1998,0.5159420289855072
2.1806245448869626,0.0,2.1806245448869626,2.1806245448869626,1998,1998,0.5119047619047619
