year,stock,stock_name,open_price,close_price,return
2007,2449,京元電,21.23,14.23,0.6702779086198776
2008,2451,創見,83.96,56.1,0.6681753215817057
2002,2905,三商行,15.08,9.97,0.6611405835543767
2007,5387,茂德,13.18,8.7,0.6600910470409711
2005,2029,盛餘,28.41,18.06,0.6356916578669483
2008,2103,台橡,33.79,21.36,0.6321396862977212
2004,2393,億光,34.49,21.6,0.6262684836184401
2008,2385,群光,43.54,26.57,0.6102434542949012
2004,2385,群光,26.23,15.88,0.6054136484940907
2002,2458,義隆,26.33,15.87,0.602734523357387
2002,2344,華邦電,24.8,14.64,0.5903225806451613
2008,1785,光洋科,55.11,32.19,0.5841045182362548
2002,2408,南科,75.76,44.0,0.5807814149947201
2007,2227,裕日車,85.34,49.43,0.5792125615186313
2008,3443,創意,188.24,107.45,0.5708138546536337
2002,6116,彩晶,18.16,10.35,0.5699339207048458
2008,6121,新普,108.84,61.81,0.5678978316795296
2008,2349,錸德,7.57,4.26,0.5627476882430646
2008,6239,力成,87.0,48.27,0.5548275862068965
2002,2376,技嘉,48.89,26.54,0.5428512988341174
2002,2491,吉祥全,127.78,68.64,0.537173266551886
2002,2377,微星,51.61,26.1,0.5057159465219919
2008,3376,新日興,141.11,66.13,0.4686414853660264
2008,1303,南亞,70.59,32.49,0.4602634934126647
2002,2329,華泰,40.84,18.77,0.4595984329089128
2008,2101,南港,30.31,13.8,0.4552952820851205
2008,3452,益通,150.21,68.29,0.4546301844084948
2008,2374,佳能,40.32,18.12,0.4494047619047619
2008,9940,信義,42.89,18.75,0.4371648402891117
2002,5346,力晶,14.17,6.16,0.4347212420606916
2008,2391,合勤,39.17,16.82,0.4294102629563441
2008,2301,光寶科,44.94,19.29,0.42923898531375165
2002,2480,敦陽科,52.6,22.56,0.4288973384030418
2008,2601,益航,64.32,27.26,0.4238184079601991
2008,2006,東鋼,44.62,18.79,0.4211116091438817
2008,8131,福懋科,48.62,20.39,0.4193747429041547
2008,3532,台勝科,148.82,61.09,0.41049590108856343
2008,6605,帝寶,97.25,39.35,0.40462724935732647
2007,1736,喬山,180.46,72.98,0.40441094979496844
2008,2393,億光,101.55,39.83,0.39222058099458396
2008,1710,東聯,31.77,12.23,0.3849543594586088
2008,2317,鴻海,144.84,55.35,0.38214581607290804
2008,8299,群聯,126.93,47.23,0.3720948554321279
2008,2332,友訊,51.57,19.01,0.36862516967229014
2008,2328,廣宇,63.14,22.0,0.34843205574912894
2008,6116,彩晶,12.34,4.28,0.346839546191248
2008,8046,南電,179.04,61.26,0.3421581769436997
2008,3189,景碩,87.24,28.82,0.33035304906006424
2008,6244,茂迪,191.05,61.87,0.3238419261973305
2008,2475,華映,10.59,3.34,0.3153918791312559
2008,5522,遠雄,66.61,20.9,0.31376670169644194
2002,5387,茂德,24.63,7.6,0.3085667884693463
2008,3044,健鼎,98.62,29.99,0.3040965321435814
2008,3514,昱晶,168.28,50.43,0.29967910625148564
2002,2342,茂矽,106.88,31.3,0.29285179640718567
2008,5483,中美晶,178.6,50.3,0.28163493840985443
2008,8078,華寶,65.95,17.11,0.25943896891584534
2008,6182,合晶,156.69,39.06,0.2492820218265365
