year,stock,stock_name,open_price,close_price,return
2009,2915,潤泰全,18.52,56.8,3.0669546436285096
2002,2204,中華,15.03,43.88,2.9194943446440456
2009,5371,中光電,15.09,43.67,2.893969516235918
2009,2327,國巨,4.08,11.7,2.867647058823529
2009,2106,建大,11.72,33.35,2.8455631399317407
2002,1710,東聯,4.27,12.11,2.836065573770492
2009,2376,技嘉,10.44,29.08,2.78544061302682
2009,2324,仁寶,15.1,40.89,2.7079470198675497
2009,2201,裕隆,13.93,37.34,2.6805455850681983
2009,2401,凌陽,13.15,34.95,2.6577946768060836
2009,2328,廣宇,22.0,58.0,2.6363636363636362
2009,2350,環電,7.7,20.2,2.623376623376623
2001,2366,亞旭,9.1,23.87,2.623076923076923
2002,2201,裕隆,10.92,28.54,2.6135531135531136
2009,2331,精英,5.65,14.61,2.5858407079646013
2009,8078,華寶,17.11,43.85,2.562828755113969
2009,8008,建興電,12.07,30.63,2.5376967688483845
2001,2355,敬鵬,6.58,16.37,2.487841945288754
2006,2526,大陸,9.56,23.25,2.4320083682008367
2009,6176,瑞儀,17.65,42.86,2.428328611898017
2002,2615,萬海,5.12,12.1,2.36328125
2001,2332,友訊,11.62,27.37,2.3554216867469884
2009,1717,長興,13.29,29.99,2.256583897667419
2009,2059,川湖,78.58,174.0,2.214303894120641
2009,2392,正崴,32.16,71.01,2.208022388059702
2009,2449,京元電,7.12,15.2,2.134831460674157
2007,2347,聯強,26.18,55.77,2.130252100840336
2007,2606,裕民,31.76,66.79,2.1029596977329974
2002,2207,和泰,9.17,18.57,2.025081788440567
2006,2206,三陽,10.12,20.43,2.0187747035573125
2009,1704,榮化,18.11,36.05,1.9906129210381005
2001,2352,佳世達,20.29,40.31,1.9866929521931989
2003,3008,大立光,106.23,206.6,1.9448366751388495
2002,9933,中鼎,5.58,10.66,1.9103942652329748
2006,3376,新日興,65.35,124.3,1.9020657995409336
2009,2612,中航,43.28,82.22,1.8997227356746764
2009,2354,鴻準,67.14,124.0,1.8468871015787907
2005,2392,正崴,36.74,67.85,1.8467610234077296
2009,3367,英華達,17.91,32.69,1.8252372975991065
2002,2603,長榮,7.11,12.8,1.80028129395218
2005,6239,力成,31.03,55.47,1.7876248791492104
2009,2006,東鋼,18.79,33.36,1.775412453432677
2005,5371,中光電,17.01,30.16,1.7730746619635507
2005,2441,超豐,14.04,23.99,1.7086894586894588
2003,2382,廣達,26.34,43.97,1.6693242217160211
2001,2908,特力,7.2,11.78,1.636111111111111
2006,1434,福懋,11.78,18.97,1.6103565365025467
2004,3007,綠點,44.14,69.71,1.5792931581332124
2001,2477,美隆電,13.06,20.12,1.5405819295558958
2006,6239,力成,55.47,84.86,1.5298359473589327
2001,1311,福聚,8.87,13.51,1.5231116121758739
2002,9921,巨大,16.23,24.45,1.5064695009242144
2009,6182,合晶,39.06,58.3,1.4925755248335892
2006,2350,環電,9.33,13.83,1.482315112540193
2001,3026,禾伸堂,20.83,30.45,1.4618338934229478
2009,1802,台玻,17.34,25.26,1.4567474048442908
2003,2207,和泰,18.57,26.89,1.448034464189553
2001,9910,豐泰,7.15,10.32,1.4433566433566434
