平均報酬率,標準差,最大報酬率,最小報酬率,最大報酬率年份,最小報酬率年份,準確率
1.2732764417924993,0.45120276980243823,2.0281370997543253,0.5429441761335194,2008,2007,0.5689655172413793
1.2047447093045889,0.43345446564360973,2.0798790188790477,0.5179084618291018,2007,2006,0.5535203205495135
1.218396369418886,0.43402738219307413,2.2224267510005786,0.500946819163611,2006,2005,0.5865992414664981
1.0553801806625678,0.43627425435647993,1.9329312471105278,0.5002790994350772,2005,2004,0.569701280227596
1.31256861133491,0.4280541032842992,2.0623830425698126,0.538615639900967,2004,2003,0.5791599353796446
1.211299133761999,0.44076594037007993,2.0361430194747743,0.5271333339350953,2003,2002,0.5733207190160833
1.2616341993747828,0.57453054820707,2.2992040493120247,0.5248939179004041,2002,2001,0.5577142857142857
1.256211767286872,0.5713571600328698,2.0956271515523093,0.5060856556004679,1999,1998,0.5755395683453237
1.2760624544107932,0.6341710298994769,2.0414394408992083,0.4885185620904719,1999,1998,0.5852272727272727
1.2586070567024294,0.7699723687088498,2.0285794254112792,0.4886346879935797,1999,1998,0.5594202898550724
1.8296845342578665,0.0,1.8296845342578665,1.8296845342578665,1998,1998,0.5416666666666666
