年份,公司代號,公司名稱,ROE,ROA
1999,5531,鄉林,3.32,7.42
2000,5531,鄉林,3.24,5.53
2001,5531,鄉林,          3.38,6.69
2002,5531,鄉林,2.04,3.37
2003,5531,鄉林,1.83,3.38
2004,5531,鄉林,15.24,38.05
2005,5531,鄉林,11.28,35.37
2006,5531,鄉林,11.95,45.66
2007,5531,鄉林,13.74,41.98
2008,5531,鄉林,5.08,13.1
2009,5531,鄉林,3.54,10.09
2010,5531,鄉林,4.47,12.83
2011,5531,鄉林,5.24,14.33
2013,5531,鄉林,9.54,24.76
2014,5531,鄉林,2.75,7.54
2015,5531,鄉林,0.77,-0.19
2016,5531,鄉林,1.62,2.94
2017,5531,鄉林,2.09,4.06
2018,5531,鄉林,1.03,-0.24
2019,5531,鄉林,3.07,5.72
2020,5531,鄉林,1.86,          0.86
2021,5531,鄉林,-0.62,-6.48
2022,5531,鄉林,         -2.97,        -14.20
