年份,公司代號,公司名稱,ROE,ROA
1990,1455,集盛,20.71,         33.62
1991,1455,集盛,19.78,27.67
1992,1455,集盛,10.94,17.0
1993,1455,集盛,8.98,13.08
1994,1455,集盛,8.99,11.75
1995,1455,集盛,10.59,13.22
1996,1455,集盛,9.73,11.35
1997,1455,集盛,8.08,9.19
1998,1455,集盛,3.6,4.32
1999,1455,集盛,3.12,3.79
2000,1455,集盛,1.51,0.33
2001,1455,集盛,          2.77,2.37
2002,1455,集盛,7.0,9.61
2003,1455,集盛,3.51,4.57
2004,1455,集盛,6.25,8.78
2005,1455,集盛,-1.71,-3.06
2006,1455,集盛,2.29,3.25
2007,1455,集盛,2.13,2.95
2008,1455,集盛,-11.02,-21.55
2009,1455,集盛,9.61,16.03
2010,1455,集盛,9.18,14.99
2011,1455,集盛,1.34,2.01
2013,1455,集盛,3.06,5.01
2014,1455,集盛,0.75,0.76
2015,1455,集盛,1.38,1.77
2016,1455,集盛,1.94,2.77
2017,1455,集盛,3.16,4.71
2018,1455,集盛,0.89,1.17
2019,1455,集盛,-2.74,-4.09
2020,1455,集盛,-0.33,         -0.58
2021,1455,集盛,9.45,13.3
2022,1455,集盛,         -2.66,         -4.05
