年份,公司代號,公司名稱,ROE,ROA
1992,2528,皇普,5.05,16.04
1993,2528,皇普,4.01,16.07
1994,2528,皇普,3.05,13.3
1995,2528,皇普,1.42,3.73
1996,2528,皇普,2.23,6.79
1998,2528,皇普,5.66,15.96
2000,2528,皇普,-7.36,-38.75
2001,2528,皇普,         -6.33,-37.96
2002,2528,皇普,-10.08,-53.34
2003,2528,皇普,-9.14,-84.84
2004,2528,皇普,-3.79,-82.21
2005,2528,皇普,5.31,36.65
2006,2528,皇普,1.73,-5.3
2007,2528,皇普,1.68,-8.27
2008,2528,皇普,1.43,-12.62
2009,2528,皇普,11.7,23.92
2010,2528,皇普,-3.24,-6.25
2011,2528,皇普,-2.09,-5.29
2013,2528,皇普,9.08,14.45
2014,2528,皇普,3.82,4.31
2015,2528,皇普,0.33,0.06
2016,2528,皇普,-0.66,-1.51
2017,2528,皇普,-8.06,-12.3
2018,2528,皇普,-1.62,-3.72
2019,2528,皇普,-1.24,-3.46
2020,2528,皇普,-1.99,         -6.29
2021,2528,皇普,3.41,12.29
2022,2528,皇普,          1.37,          5.07
