年份,公司代號,公司名稱,ROE,ROA
1990,1805,寶徠,5.11,          2.93
1991,1805,寶徠,1.2,-0.92
1992,1805,寶徠,3.85,3.56
1993,1805,寶徠,11.3,14.69
1994,1805,寶徠,19.82,26.83
1995,1805,寶徠,-6.59,-11.5
1996,1805,寶徠,-8.91,-17.66
1997,1805,寶徠,2.87,1.6
1998,1805,寶徠,-3.37,-8.85
1999,1805,寶徠,-14.85,-26.12
2000,1805,寶徠,-15.19,-26.34
2001,1805,寶徠,         -7.81,-15.65
2004,1805,寶徠,-43.19,-105.15
2005,1805,寶徠,-8.03,-53.59
2006,1805,寶徠,18.0,49.0
2007,1805,寶徠,5.23,9.63
2008,1805,寶徠,-17.7,-47.28
2010,1805,寶徠,-11.47,-24.16
2011,1805,寶徠,4.06,14.13
2013,1805,寶徠,8.52,40.29
2014,1805,寶徠,0.83,1.15
2015,1805,寶徠,8.45,13.58
2016,1805,寶徠,-7.0,-13.61
2017,1805,寶徠,0.03,-0.32
2018,1805,寶徠,-5.8,-13.97
2019,1805,寶徠,-3.9,-11.57
2020,1805,寶徠,-3.5,         -9.72
2021,1805,寶徠,-1.47,-5.61
2022,1805,寶徠,         -5.70,        -17.19
