年份,公司代號,公司名稱,ROE,ROA
1996,2471,資通,9.29,17.8
1997,2471,資通,11.14,18.37
1998,2471,資通,13.03,19.58
1999,2471,資通,10.05,13.61
2000,2471,資通,17.16,7.49
2001,2471,資通,          2.92,3.82
2002,2471,資通,-4.76,-6.12
2003,2471,資通,-0.37,-0.48
2004,2471,資通,1.0,1.01
2005,2471,資通,-4.99,-6.35
2006,2471,資通,3.52,4.57
2007,2471,資通,-3.45,-4.66
2008,2471,資通,-5.03,-7.13
2009,2471,資通,-2.51,-3.52
2010,2471,資通,6.27,8.99
2011,2471,資通,7.03,9.95
2013,2471,資通,4.69,6.93
2014,2471,資通,5.65,8.33
2015,2471,資通,3.36,5.07
2016,2471,資通,7.56,11.57
2017,2471,資通,2.88,4.59
2018,2471,資通,5.19,8.07
2019,2471,資通,6.89,10.92
2020,2471,資通,7.74,         12.90
2021,2471,資通,8.76,14.47
2022,2471,資通,         10.48,         16.99
