年份,公司代號,公司名稱,ROE,ROA
1995,2431,聯昌,16.91,25.91
1996,2431,聯昌,13.18,20.14
1998,2431,聯昌,7.75,11.08
1999,2431,聯昌,7.52,11.18
2000,2431,聯昌,4.44,6.46
2001,2431,聯昌,          2.49,3.36
2003,2431,聯昌,5.12,6.91
2004,2431,聯昌,-2.12,-3.36
2005,2431,聯昌,5.45,8.62
2006,2431,聯昌,-2.57,-3.51
2007,2431,聯昌,-3.86,-4.48
2008,2431,聯昌,-4.1,-5.47
2009,2431,聯昌,8.43,13.01
2010,2431,聯昌,3.82,5.35
2011,2431,聯昌,-2.18,-2.76
2013,2431,聯昌,2.32,3.82
2014,2431,聯昌,4.85,8.89
2015,2431,聯昌,1.19,2.12
2016,2431,聯昌,3.58,5.81
2017,2431,聯昌,-1.29,-2.36
2018,2431,聯昌,-8.15,-13.29
2019,2431,聯昌,0.41,0.68
2020,2431,聯昌,2.09,          3.47
2021,2431,聯昌,5.35,8.05
2022,2431,聯昌,          0.68,          0.71
