年份,公司代號,公司名稱,ROE,ROA
1991,2515,中工,4.2,11.29
1992,2515,中工,7.88,26.76
1993,2515,中工,4.68,14.15
1994,2515,中工,-5.02,-22.6
1995,2515,中工,3.18,8.75
1996,2515,中工,1.66,2.97
1997,2515,中工,2.81,6.11
1998,2515,中工,-1.51,-6.1
1999,2515,中工,1.39,1.53
2000,2515,中工,-1.51,-7.37
2001,2515,中工,          0.55,0.31
2002,2515,中工,0.55,0.48
2003,2515,中工,0.49,0.56
2004,2515,中工,0.4,0.74
2005,2515,中工,1.04,2.11
2006,2515,中工,2.3,4.35
2007,2515,中工,1.79,3.01
2008,2515,中工,0.16,0.2
2009,2515,中工,0.74,1.13
2010,2515,中工,2.42,4.31
2011,2515,中工,0.53,0.86
2013,2515,中工,0.88,1.41
2014,2515,中工,1.53,2.72
2015,2515,中工,1.51,2.69
2016,2515,中工,0.84,1.37
2017,2515,中工,0.84,1.36
2018,2515,中工,1.04,1.78
2019,2515,中工,1.04,1.54
2020,2515,中工,1.73,          2.96
2021,2515,中工,6.16,12.28
2022,2515,中工,          2.01,          3.53
