年份,公司代號,公司名稱,ROE,ROA
1992,2020,美亞,11.5,17.54
1993,2020,美亞,11.98,17.68
1994,2020,美亞,10.95,15.36
1995,2020,美亞,10.31,13.91
1996,2020,美亞,4.07,4.23
1997,2020,美亞,6.87,5.72
1998,2020,美亞,-10.0,-32.46
1999,2020,美亞,9.49,4.66
2000,2020,美亞,7.71,9.63
2001,2020,美亞,          4.07,3.67
2002,2020,美亞,10.66,15.7
2003,2020,美亞,9.82,15.96
2004,2020,美亞,12.95,25.11
2005,2020,美亞,0.94,0.39
2006,2020,美亞,10.21,21.93
2007,2020,美亞,9.22,18.79
2008,2020,美亞,-3.46,-12.42
2009,2020,美亞,3.12,5.29
2010,2020,美亞,8.22,13.3
2011,2020,美亞,-5.45,-10.69
2013,2020,美亞,3.27,4.79
2014,2020,美亞,4.51,6.82
2015,2020,美亞,-7.56,-14.13
2016,2020,美亞,7.98,14.19
2017,2020,美亞,6.96,11.87
2018,2020,美亞,5.76,9.81
2019,2020,美亞,7.72,14.17
2020,2020,美亞,6.59,         12.50
2021,2020,美亞,10.97,23.0
2022,2020,美亞,          4.02,          7.81
