年份,公司代號,公司名稱,ROE,ROA
1990,1417,嘉裕,-7.01,        -10.37
1991,1417,嘉裕,4.04,5.03
1992,1417,嘉裕,5.96,6.89
1993,1417,嘉裕,6.39,7.74
1994,1417,嘉裕,4.48,5.24
1995,1417,嘉裕,1.69,1.42
1996,1417,嘉裕,3.6,4.27
1997,1417,嘉裕,2.37,1.74
2001,1417,嘉裕,          0.63,0.01
2004,1417,嘉裕,-4.46,-6.64
2005,1417,嘉裕,-12.65,-17.51
2006,1417,嘉裕,-2.6,-3.62
2007,1417,嘉裕,1.15,1.17
2008,1417,嘉裕,1.25,1.27
2009,1417,嘉裕,2.14,2.55
2010,1417,嘉裕,2.94,3.6
2011,1417,嘉裕,4.81,5.88
2013,1417,嘉裕,0.41,0.38
2014,1417,嘉裕,0.59,0.63
2015,1417,嘉裕,-6.1,-8.48
2016,1417,嘉裕,-3.01,-4.21
2017,1417,嘉裕,-9.33,-12.41
2018,1417,嘉裕,-5.28,-6.77
2019,1417,嘉裕,7.44,9.74
2020,1417,嘉裕,-9.35,        -12.40
2021,1417,嘉裕,2.8,3.72
2022,1417,嘉裕,          2.73,          3.94
