年份,公司代號,公司名稱,ROE,ROA
1997,2458,義隆,24.44,32.34
1998,2458,義隆,14.97,16.76
1999,2458,義隆,26.83,31.8
2000,2458,義隆,28.25,33.85
2001,2458,義隆,         16.14,18.33
2002,2458,義隆,10.55,13.03
2003,2458,義隆,14.46,19.43
2004,2458,義隆,11.91,15.31
2005,2458,義隆,8.0,10.0
2006,2458,義隆,5.81,6.86
2007,2458,義隆,11.07,12.88
2008,2458,義隆,3.49,4.11
2009,2458,義隆,6.14,7.32
2010,2458,義隆,9.98,11.77
2011,2458,義隆,6.74,8.09
2013,2458,義隆,16.13,20.88
2014,2458,義隆,14.26,18.28
2015,2458,義隆,7.61,9.88
2016,2458,義隆,6.32,8.29
2017,2458,義隆,10.75,14.52
2018,2458,義隆,15.4,22.03
2019,2458,義隆,23.49,34.75
2020,2458,義隆,24.88,         37.84
2021,2458,義隆,32.09,49.66
2022,2458,義隆,         13.51,         19.75
