年份,公司代號,公司名稱,ROE,ROA
1994,2430,燦坤,8.32,19.45
1995,2430,燦坤,8.36,16.8
1996,2430,燦坤,12.41,24.44
1997,2430,燦坤,12.48,25.48
1998,2430,燦坤,11.75,22.64
1999,2430,燦坤,9.12,18.46
2000,2430,燦坤,8.43,16.0
2001,2430,燦坤,          8.93,15.8
2002,2430,燦坤,8.78,17.39
2004,2430,燦坤,8.22,18.4
2005,2430,燦坤,3.37,7.44
2006,2430,燦坤,-13.27,-39.69
2007,2430,燦坤,16.76,48.78
2008,2430,燦坤,3.96,9.06
2009,2430,燦坤,7.82,19.31
2010,2430,燦坤,10.12,27.54
2011,2430,燦坤,9.74,23.49
2013,2430,燦坤,4.39,10.27
2014,2430,燦坤,-0.39,-0.88
2015,2430,燦坤,2.57,5.7
2016,2430,燦坤,4.76,9.98
2017,2430,燦坤,2.72,5.7
2018,2430,燦坤,2.31,4.71
2019,2430,燦坤,2.66,4.51
2020,2430,燦坤,2.77,          6.52
2021,2430,燦坤,4.76,13.11
2022,2430,燦坤,          3.85,         11.97
