年份,公司代號,公司名稱,ROE,ROA
1997,5388,中磊,17.27,20.59
1998,5388,中磊,13.73,16.04
2001,5388,中磊,          9.11,11.23
2002,5388,中磊,13.06,17.7
2003,5388,中磊,10.78,20.2
2004,5388,中磊,13.08,25.64
2005,5388,中磊,10.96,20.42
2006,5388,中磊,8.9,19.86
2007,5388,中磊,11.19,25.52
2008,5388,中磊,6.76,13.48
2009,5388,中磊,4.46,8.32
2010,5388,中磊,6.12,12.5
2011,5388,中磊,8.83,19.87
2013,5388,中磊,6.76,19.78
2014,5388,中磊,6.48,17.6
2015,5388,中磊,6.71,19.96
2016,5388,中磊,6.54,20.36
2017,5388,中磊,5.5,17.66
2018,5388,中磊,3.77,11.92
2019,5388,中磊,4.49,14.09
2020,5388,中磊,3.37,         11.70
2021,5388,中磊,2.85,10.8
2022,5388,中磊,          5.21,         21.15
