年份,公司代號,公司名稱,ROE,ROA
1993,2340,台亞,9.92,14.3
1994,2340,台亞,11.19,19.41
1995,2340,台亞,5.11,5.82
1996,2340,台亞,7.48,10.48
1997,2340,台亞,15.15,21.49
1998,2340,台亞,12.62,21.36
1999,2340,台亞,5.1,5.6
2000,2340,台亞,9.52,11.4
2001,2340,台亞,          1.37,1.13
2002,2340,台亞,1.97,1.6
2003,2340,台亞,-5.04,-11.66
2004,2340,台亞,-7.17,-16.02
2005,2340,台亞,-9.07,-19.78
2006,2340,台亞,-9.19,-18.76
2007,2340,台亞,9.75,16.2
2008,2340,台亞,4.08,5.72
2009,2340,台亞,2.26,3.35
2010,2340,台亞,6.09,10.08
2011,2340,台亞,4.07,6.37
2013,2340,台亞,3.92,5.88
2014,2340,台亞,5.05,7.58
2015,2340,台亞,5.11,7.5
2016,2340,台亞,7.81,10.94
2017,2340,台亞,6.7,8.88
2018,2340,台亞,6.72,8.85
2019,2340,台亞,6.16,8.17
2020,2340,台亞,5.69,          7.69
2021,2340,台亞,7.33,9.54
2022,2340,台亞,          3.23,          3.96
