年份,公司代號,公司名稱,ROE,ROA
1996,2382,廣達,16.88,46.68
1997,2382,廣達,48.49,104.41
1998,2382,廣達,44.82,73.52
1999,2382,廣達,28.2,43.25
2000,2382,廣達,20.18,29.69
2001,2382,廣達,         20.61,33.01
2002,2382,廣達,20.61,24.47
2003,2382,廣達,11.45,23.99
2004,2382,廣達,8.64,18.8
2005,2382,廣達,7.24,16.22
2006,2382,廣達,7.97,18.21
2007,2382,廣達,9.15,23.09
2008,2382,廣達,8.81,23.31
2009,2382,廣達,8.8,23.16
2010,2382,廣達,6.09,17.04
2011,2382,廣達,6.59,20.23
2013,2382,廣達,3.69,14.77
2014,2382,廣達,3.72,14.19
2015,2382,廣達,3.43,12.67
2016,2382,廣達,3.09,11.02
2017,2382,廣達,2.97,10.42
2018,2382,廣達,3.22,10.95
2019,2382,廣達,3.4,11.52
2020,2382,廣達,4.24,         17.38
2021,2382,廣達,5.1,21.58
2022,2382,廣達,          4.33,         17.25
