年份,公司代號,公司名稱,ROE,ROA
1996,2377,微星,21.0,51.0
1997,2377,微星,18.0,38.0
1998,2377,微星,18.0,39.0
1999,2377,微星,18.19,32.98
2000,2377,微星,16.13,28.79
2001,2377,微星,         19.06,35.53
2002,2377,微星,11.76,22.55
2003,2377,微星,8.55,16.38
2004,2377,微星,1.36,2.32
2005,2377,微星,3.11,6.0
2006,2377,微星,3.18,6.02
2007,2377,微星,6.35,12.89
2008,2377,微星,4.5,9.13
2009,2377,微星,0.48,0.94
2010,2377,微星,1.05,2.08
2011,2377,微星,0.74,1.36
2013,2377,微星,5.04,8.89
2014,2377,微星,6.93,12.7
2015,2377,微星,8.0,14.74
2016,2377,微星,10.08,18.57
2017,2377,微星,9.92,18.05
2018,2377,微星,11.6,20.92
2019,2377,微星,9.71,18.33
2020,2377,微星,11.51,         23.92
2021,2377,微星,18.83,40.96
2022,2377,微星,         10.59,         20.87
