年份,公司代號,公司名稱,ROE,ROA
1994,1616,億泰,14.71,26.92
1995,1616,億泰,13.48,24.07
1996,1616,億泰,18.6,32.45
1997,1616,億泰,12.38,15.69
1998,1616,億泰,2.43,2.41
1999,1616,億泰,4.77,5.35
2001,1616,億泰,         -1.00,-3.0
2002,1616,億泰,4.0,5.0
2003,1616,億泰,0.0,0.0
2004,1616,億泰,4.0,6.0
2005,1616,億泰,3.0,5.0
2006,1616,億泰,4.17,5.93
2007,1616,億泰,-1.71,-5.64
2008,1616,億泰,-4.96,-11.18
2009,1616,億泰,-1.3,-2.87
2010,1616,億泰,-1.67,-3.67
2011,1616,億泰,-4.89,-10.71
2013,1616,億泰,0.83,0.19
2014,1616,億泰,-4.16,-11.44
2015,1616,億泰,5.55,11.51
2016,1616,億泰,0.99,1.22
2017,1616,億泰,-2.9,-6.64
2018,1616,億泰,0.6,0.66
2019,1616,億泰,-1.71,-3.7
2020,1616,億泰,0.38,          0.11
2021,1616,億泰,3.48,6.1
2022,1616,億泰,          1.34,          1.14
