年份,公司代號,公司名稱,ROE,ROA
2000,6206,飛捷,10.0,16.0
2001,6206,飛捷,         18.00,24.0
2002,6206,飛捷,20.0,25.0
2003,6206,飛捷,17.0,23.0
2004,6206,飛捷,19.0,27.0
2005,6206,飛捷,20.0,27.0
2006,6206,飛捷,26.0,33.0
2007,6206,飛捷,29.0,37.0
2008,6206,飛捷,20.98,25.98
2009,6206,飛捷,24.01,29.13
2010,6206,飛捷,19.82,27.12
2011,6206,飛捷,14.65,22.43
2013,6206,飛捷,18.82,26.27
2014,6206,飛捷,18.91,24.3
2015,6206,飛捷,18.49,23.14
2016,6206,飛捷,14.34,17.89
2017,6206,飛捷,11.99,15.55
2018,6206,飛捷,13.41,17.16
2019,6206,飛捷,12.54,15.4
2020,6206,飛捷,10.57,         12.85
2021,6206,飛捷,11.63,14.78
2022,6206,飛捷,         16.43,         20.94
