年份,公司代號,公司名稱,ROE,ROA
1991,1227,佳格,23.16,39.56
1992,1227,佳格,25.94,36.92
1993,1227,佳格,26.7,33.6
1994,1227,佳格,23.34,27.71
1995,1227,佳格,21.85,27.2
1996,1227,佳格,15.53,20.04
1997,1227,佳格,15.88,20.31
1998,1227,佳格,10.84,14.31
2001,1227,佳格,          4.56,6.23
2002,1227,佳格,3.35,4.54
2003,1227,佳格,7.07,9.91
2004,1227,佳格,8.68,11.71
2005,1227,佳格,5.12,7.16
2006,1227,佳格,4.17,5.58
2007,1227,佳格,6.42,8.37
2008,1227,佳格,11.36,14.9
2009,1227,佳格,18.88,24.02
2010,1227,佳格,26.11,32.83
2011,1227,佳格,24.68,30.63
2013,1227,佳格,12.62,17.9
2014,1227,佳格,12.39,18.21
2015,1227,佳格,14.33,21.5
2016,1227,佳格,12.67,18.89
2017,1227,佳格,10.21,15.01
2018,1227,佳格,12.99,19.11
2019,1227,佳格,14.11,20.94
2020,1227,佳格,12.37,         18.62
2021,1227,佳格,9.06,13.71
2022,1227,佳格,          4.60,          6.85
