年份,公司代號,公司名稱,ROE,ROA
1990,1806,冠軍,38.91,         65.54
1991,1806,冠軍,30.43,39.93
1992,1806,冠軍,25.0,30.26
1993,1806,冠軍,19.39,23.85
1994,1806,冠軍,20.74,26.01
1995,1806,冠軍,17.59,22.29
1996,1806,冠軍,7.64,8.95
1997,1806,冠軍,11.32,14.31
1998,1806,冠軍,3.74,4.31
1999,1806,冠軍,8.04,10.6
2000,1806,冠軍,-11.56,-20.45
2001,1806,冠軍,        -11.16,-22.01
2002,1806,冠軍,-0.17,-2.99
2003,1806,冠軍,2.18,1.61
2004,1806,冠軍,3.41,3.91
2005,1806,冠軍,4.84,6.14
2006,1806,冠軍,8.24,11.15
2007,1806,冠軍,9.86,13.51
2008,1806,冠軍,4.09,4.9
2009,1806,冠軍,11.22,14.75
2010,1806,冠軍,16.2,20.76
2011,1806,冠軍,9.56,12.13
2013,1806,冠軍,2.85,3.63
2014,1806,冠軍,-2.65,-6.46
2015,1806,冠軍,0.52,-0.98
2016,1806,冠軍,1.12,0.47
2017,1806,冠軍,-0.06,-1.26
2018,1806,冠軍,-4.32,-8.51
2019,1806,冠軍,-3.28,-6.89
2020,1806,冠軍,-3.43,         -7.04
2021,1806,冠軍,10.64,16.5
2022,1806,冠軍,         -1.82,         -3.15
