年份,公司代號,公司名稱,ROE,ROA
1996,2421,建準,9.13,17.54
1997,2421,建準,11.83,22.32
1998,2421,建準,11.88,22.34
1999,2421,建準,9.84,16.71
2000,2421,建準,6.72,10.75
2001,2421,建準,          6.28,9.06
2002,2421,建準,3.45,4.7
2003,2421,建準,2.04,2.61
2004,2421,建準,3.45,5.11
2005,2421,建準,2.58,4.03
2006,2421,建準,6.13,10.52
2007,2421,建準,5.18,8.3
2008,2421,建準,3.18,4.7
2009,2421,建準,5.42,7.89
2010,2421,建準,11.36,16.28
2011,2421,建準,7.7,11.06
2013,2421,建準,4.84,8.58
2014,2421,建準,5.56,10.07
2015,2421,建準,6.12,11.27
2016,2421,建準,7.44,14.34
2017,2421,建準,7.84,16.1
2018,2421,建準,6.99,14.62
2019,2421,建準,7.63,16.27
2020,2421,建準,8.76,         19.31
2021,2421,建準,4.1,9.58
2022,2421,建準,          9.47,         22.76
