年份,公司代號,公司名稱,ROE,ROA
1996,1466,聚隆,7.27,9.2
1997,1466,聚隆,10.14,17.86
1998,1466,聚隆,-10.48,-27.53
1999,1466,聚隆,-24.37,-56.9
2000,1466,聚隆,-11.14,-37.85
2001,1466,聚隆,        -13.35,-57.85
2002,1466,聚隆,-0.58,-12.74
2003,1466,聚隆,0.27,-7.61
2004,1466,聚隆,4.76,14.13
2005,1466,聚隆,-4.18,-24.18
2006,1466,聚隆,5.99,17.75
2007,1466,聚隆,5.12,12.81
2008,1466,聚隆,-8.19,-31.83
2009,1466,聚隆,4.4,11.39
2010,1466,聚隆,14.15,29.94
2011,1466,聚隆,8.28,14.51
2013,1466,聚隆,3.96,6.1
2014,1466,聚隆,1.98,3.14
2015,1466,聚隆,0.61,0.43
2016,1466,聚隆,-2.45,-5.61
2017,1466,聚隆,0.49,-0.17
2018,1466,聚隆,-2.29,-6.17
2019,1466,聚隆,-2.2,-6.22
2020,1466,聚隆,1.82,          2.59
2021,1466,聚隆,5.58,10.68
2022,1466,聚隆,         -1.08,         -3.98
