年份,公司代號,公司名稱,ROE,ROA
2000,1325,恆大,14.16,18.94
2001,1325,恆大,          0.90,1.17
2002,1325,恆大,1.47,1.42
2003,1325,恆大,2.13,2.4
2004,1325,恆大,-3.64,-5.55
2005,1325,恆大,2.79,3.16
2006,1325,恆大,2.37,2.7
2007,1325,恆大,7.6,8.63
2008,1325,恆大,9.63,10.83
2009,1325,恆大,11.45,12.92
2010,1325,恆大,8.54,9.54
2011,1325,恆大,6.58,7.25
2013,1325,恆大,3.42,3.79
2014,1325,恆大,2.71,2.96
2015,1325,恆大,4.69,5.09
2016,1325,恆大,5.44,5.93
2017,1325,恆大,2.05,2.22
2018,1325,恆大,3.15,3.37
2019,1325,恆大,1.83,1.95
2020,1325,恆大,61.9,         72.03
2021,1325,恆大,7.07,8.07
2022,1325,恆大,          0.44,          0.46
