年份,公司代號,公司名稱,ROE,ROA
1989,1434,福懋,15.47,21.52
1990,1434,福懋,10.63,         14.01
1991,1434,福懋,14.27,18.81
1992,1434,福懋,8.85,11.3
1993,1434,福懋,9.85,12.71
1994,1434,福懋,9.72,12.18
1995,1434,福懋,7.33,8.88
1996,1434,福懋,7.47,9.57
1997,1434,福懋,7.89,10.11
1998,1434,福懋,6.95,8.45
1999,1434,福懋,7.29,9.91
2000,1434,福懋,8.82,12.4
2001,1434,福懋,          4.92,5.28
2002,1434,福懋,6.39,8.77
2003,1434,福懋,5.32,7.64
2004,1434,福懋,6.34,9.73
2005,1434,福懋,7.25,11.3
2006,1434,福懋,7.0,9.44
2007,1434,福懋,11.02,13.44
2008,1434,福懋,4.9,5.75
2009,1434,福懋,0.28,0.19
2010,1434,福懋,6.12,7.49
2011,1434,福懋,3.07,3.71
2013,1434,福懋,3.07,4.0
2014,1434,福懋,5.27,7.16
2015,1434,福懋,4.36,5.95
2016,1434,福懋,4.63,6.08
2017,1434,福懋,5.26,6.64
2018,1434,福懋,5.85,7.18
2019,1434,福懋,5.53,6.65
2020,1434,福懋,2.78,          3.33
2021,1434,福懋,2.82,3.46
2022,1434,福懋,          4.56,          5.77
