年份,公司代號,公司名稱,ROE,ROA
1994,1463,強盛,5.29,6.11
1995,1463,強盛,7.93,10.54
1996,1463,強盛,7.33,9.43
1997,1463,強盛,9.27,11.66
1998,1463,強盛,6.87,7.92
1999,1463,強盛,7.53,9.17
2000,1463,強盛,5.39,6.53
2001,1463,強盛,         -0.59,-0.83
2002,1463,強盛,-2.4,-2.91
2003,1463,強盛,-2.36,-2.83
2004,1463,強盛,6.0,6.76
2005,1463,強盛,0.84,0.94
2006,1463,強盛,-0.84,-0.94
2007,1463,強盛,-5.31,-5.93
2008,1463,強盛,-10.06,-11.21
2009,1463,強盛,7.86,8.74
2010,1463,強盛,0.46,0.51
2011,1463,強盛,1.38,1.54
2013,1463,強盛,2.59,2.88
2014,1463,強盛,2.71,4.28
2015,1463,強盛,2.44,4.04
2016,1463,強盛,17.6,27.01
2017,1463,強盛,16.86,21.05
2018,1463,強盛,9.35,10.27
2019,1463,強盛,4.61,5.12
2020,1463,強盛,2.38,          2.68
2021,1463,強盛,3.13,3.64
2022,1463,強盛,          2.59,          2.99
