年份,公司代號,公司名稱,ROE,ROA
1996,2033,佳大,3.98,4.9
1997,2033,佳大,3.94,3.8
1998,2033,佳大,3.72,2.35
1999,2033,佳大,5.66,8.66
2000,2033,佳大,0.37,-1.59
2001,2033,佳大,          4.27,5.84
2002,2033,佳大,5.82,9.09
2003,2033,佳大,1.58,2.53
2004,2033,佳大,3.31,7.19
2005,2033,佳大,1.37,1.43
2006,2033,佳大,2.88,3.76
2007,2033,佳大,1.48,1.06
2008,2033,佳大,10.48,15.62
2009,2033,佳大,-1.61,-2.92
2010,2033,佳大,7.48,9.93
2011,2033,佳大,5.48,7.06
2013,2033,佳大,-1.27,-2.03
2014,2033,佳大,-0.92,-1.74
2015,2033,佳大,0.01,-0.41
2016,2033,佳大,3.79,4.83
2017,2033,佳大,2.13,2.48
2018,2033,佳大,1.18,1.24
2019,2033,佳大,3.13,3.67
2020,2033,佳大,1.71,          1.92
2021,2033,佳大,1.28,1.41
2022,2033,佳大,         -0.74,         -1.22
