年份,公司代號,公司名稱,ROE,ROA
1990,1101,台泥,13.08,         17.53
1991,1101,台泥,15.71,20.46
1992,1101,台泥,13.63,17.57
1993,1101,台泥,15.73,20.15
1994,1101,台泥,9.67,12.38
1995,1101,台泥,8.33,11.54
1996,1101,台泥,5.91,8.0
1997,1101,台泥,4.85,6.92
1998,1101,台泥,6.13,8.62
1999,1101,台泥,4.95,6.65
2000,1101,台泥,2.39,2.7
2001,1101,台泥,          1.75,0.45
2002,1101,台泥,1.59,0.62
2003,1101,台泥,2.79,3.64
2004,1101,台泥,5.18,8.76
2005,1101,台泥,6.53,10.51
2006,1101,台泥,7.72,11.14
2007,1101,台泥,8.38,11.02
2008,1101,台泥,5.87,7.44
2009,1101,台泥,7.53,9.82
2010,1101,台泥,7.48,9.23
2011,1101,台泥,7.69,8.99
2013,1101,台泥,5.92,10.24
2014,1101,台泥,6.27,10.51
2015,1101,台泥,2.85,4.36
2016,1101,台泥,3.68,5.84
2017,1101,台泥,4.36,6.88
2018,1101,台泥,7.95,12.94
2019,1101,台泥,7.58,12.54
2020,1101,台泥,7.78,         13.10
2021,1101,台泥,5.4,9.54
2022,1101,台泥,          1.40,          1.79
