年份,公司代號,公司名稱,ROE,ROA
1998,5471,松翰,68.17,111.6
1999,5471,松翰,48.04,66.66
2000,5471,松翰,48.1,61.11
2001,5471,松翰,         37.66,43.93
2002,5471,松翰,30.0,34.04
2003,5471,松翰,25.7,29.47
2004,5471,松翰,23.78,27.31
2005,5471,松翰,23.2,26.49
2006,5471,松翰,25.62,29.34
2007,5471,松翰,25.85,30.57
2008,5471,松翰,21.1,24.83
2009,5471,松翰,20.24,23.94
2010,5471,松翰,19.7,24.0
2011,5471,松翰,14.11,16.72
2013,5471,松翰,13.18,15.79
2014,5471,松翰,13.4,16.02
2015,5471,松翰,10.18,12.18
2016,5471,松翰,7.54,9.15
2017,5471,松翰,6.54,8.0
2018,5471,松翰,9.59,11.49
2019,5471,松翰,9.57,11.44
2020,5471,松翰,23.5,         29.69
2021,5471,松翰,27.35,35.54
2022,5471,松翰,         11.84,         14.59
