年份,公司代號,公司名稱,ROE,ROA
2001,3209,全科,          6.18,9.46
2002,3209,全科,7.24,12.02
2003,3209,全科,9.15,15.69
2004,3209,全科,10.1,19.05
2005,3209,全科,10.91,20.9
2006,3209,全科,9.13,14.53
2007,3209,全科,8.97,14.87
2008,3209,全科,8.35,15.98
2009,3209,全科,7.02,14.28
2010,3209,全科,9.3,22.02
2011,3209,全科,6.36,14.91
2013,3209,全科,3.68,11.04
2014,3209,全科,5.7,16.97
2015,3209,全科,6.73,19.85
2016,3209,全科,3.74,11.91
2017,3209,全科,3.96,11.77
2018,3209,全科,3.74,8.09
2019,3209,全科,4.41,10.44
2020,3209,全科,4.69,         14.10
2021,3209,全科,6.01,21.4
2022,3209,全科,          6.87,         24.87
