年份,公司代號,公司名稱,ROE,ROA
1997,3022,威強電,2.33,2.81
1998,3022,威強電,6.57,8.81
1999,3022,威強電,16.64,22.02
2000,3022,威強電,12.85,16.64
2001,3022,威強電,         20.58,25.07
2002,3022,威強電,18.05,21.19
2003,3022,威強電,22.28,26.75
2004,3022,威強電,14.2,18.05
2005,3022,威強電,18.0,22.05
2006,3022,威強電,16.89,19.53
2007,3022,威強電,18.29,22.03
2008,3022,威強電,14.57,18.98
2009,3022,威強電,8.17,11.09
2010,3022,威強電,15.24,18.69
2011,3022,威強電,21.7,24.94
2013,3022,威強電,8.59,16.93
2014,3022,威強電,9.9,20.78
2015,3022,威強電,9.15,15.86
2016,3022,威強電,11.77,17.75
2017,3022,威強電,8.04,11.84
2018,3022,威強電,8.2,11.52
2019,3022,威強電,6.65,9.19
2020,3022,威強電,9.81,         13.86
2021,3022,威強電,7.72,11.07
2022,3022,威強電,         11.98,         17.27
