年份,公司代號,公司名稱,ROE,ROA
1999,6120,達運,9.5,13.12
2000,6120,達運,11.04,15.42
2001,6120,達運,         14.15,21.76
2002,6120,達運,8.07,13.79
2003,6120,達運,3.88,7.06
2004,6120,達運,14.23,27.79
2005,6120,達運,12.6,21.86
2006,6120,達運,5.51,9.07
2007,6120,達運,-0.3,-1.69
2008,6120,達運,-6.72,-11.66
2009,6120,達運,5.96,8.46
2010,6120,達運,6.31,9.35
2011,6120,達運,1.78,2.89
2013,6120,達運,-5.11,-8.17
2014,6120,達運,4.39,10.06
2015,6120,達運,-1.14,-2.94
2016,6120,達運,0.99,1.89
2017,6120,達運,1.66,3.21
2018,6120,達運,1.47,2.7
2019,6120,達運,-0.67,-1.66
2020,6120,達運,-6.11,        -11.83
2021,6120,達運,-3.13,-6.78
2022,6120,達運,          0.85,          1.36
