年份,公司代號,公司名稱,ROE,ROA
1993,2535,達欣工,7.74,16.59
1994,2535,達欣工,7.6,16.29
1995,2535,達欣工,7.21,15.8
1996,2535,達欣工,5.56,11.32
1997,2535,達欣工,4.18,7.46
1998,2535,達欣工,1.95,2.54
1999,2535,達欣工,-1.62,-5.24
2000,2535,達欣工,2.51,3.01
2001,2535,達欣工,         -0.48,-2.33
2002,2535,達欣工,0.94,0.78
2004,2535,達欣工,-1.22,-3.17
2005,2535,達欣工,3.06,6.91
2006,2535,達欣工,4.28,10.37
2007,2535,達欣工,4.89,10.57
2008,2535,達欣工,3.92,7.75
2009,2535,達欣工,4.33,8.84
2010,2535,達欣工,5.67,12.0
2011,2535,達欣工,5.56,11.8
2013,2535,達欣工,6.9,20.6
2014,2535,達欣工,4.1,11.75
2015,2535,達欣工,2.62,6.96
2016,2535,達欣工,4.66,13.2
2017,2535,達欣工,3.62,9.12
2018,2535,達欣工,3.44,9.23
2019,2535,達欣工,3.73,8.99
2020,2535,達欣工,6.24,         14.27
2021,2535,達欣工,5.91,14.06
2022,2535,達欣工,          5.44,         12.73
