年份,公司代號,公司名稱,ROE,ROA
2000,3059,華晶科,7.16,12.89
2001,3059,華晶科,         20.18,32.36
2002,3059,華晶科,18.21,29.96
2003,3059,華晶科,13.02,25.73
2004,3059,華晶科,7.5,13.45
2005,3059,華晶科,20.73,36.22
2006,3059,華晶科,20.4,36.52
2007,3059,華晶科,12.7,23.05
2008,3059,華晶科,10.92,20.56
2009,3059,華晶科,11.52,21.11
2010,3059,華晶科,6.86,11.95
2011,3059,華晶科,1.01,1.77
2013,3059,華晶科,-2.0,-3.3
2014,3059,華晶科,1.84,2.82
2015,3059,華晶科,1.86,2.84
2016,3059,華晶科,0.8,1.07
2017,3059,華晶科,0.47,0.54
2018,3059,華晶科,1.24,1.81
2019,3059,華晶科,0.11,-0.04
2020,3059,華晶科,1.26,          1.77
2021,3059,華晶科,1.94,3.04
2022,3059,華晶科,          3.20,          5.25
