年份,公司代號,公司名稱,ROE,ROA
1998,3016,嘉晶,-12.44,-12.51
1999,3016,嘉晶,-11.92,-13.16
2000,3016,嘉晶,3.29,3.84
2001,3016,嘉晶,         -4.96,-5.73
2002,3016,嘉晶,6.48,7.36
2003,3016,嘉晶,-0.22,-0.61
2004,3016,嘉晶,7.17,10.09
2005,3016,嘉晶,3.49,4.52
2006,3016,嘉晶,16.51,23.33
2007,3016,嘉晶,5.12,6.89
2008,3016,嘉晶,-2.71,-4.53
2009,3016,嘉晶,-5.65,-7.55
2010,3016,嘉晶,6.15,7.06
2011,3016,嘉晶,1.29,1.27
2013,3016,嘉晶,-1.32,-2.6
2014,3016,嘉晶,1.58,1.58
2015,3016,嘉晶,-1.19,-1.41
2016,3016,嘉晶,0.75,0.99
2017,3016,嘉晶,4.43,5.8
2018,3016,嘉晶,8.08,11.36
2019,3016,嘉晶,0.41,0.27
2020,3016,嘉晶,0.68,          0.65
2021,3016,嘉晶,6.21,8.79
2022,3016,嘉晶,          9.78,         13.74
