年份,公司代號,公司名稱,ROE,ROA
1997,2618,長榮航,3.98,3.72
1998,2618,長榮航,2.88,0.27
1999,2618,長榮航,3.94,4.29
2000,2618,長榮航,5.17,3.96
2001,2618,長榮航,,-10.0
2002,2618,長榮航,4.21,8.0
2003,2618,長榮航,2.61,4.0
2004,2618,長榮航,4.01,8.0
2005,2618,長榮航,2.14,3.0
2006,2618,長榮航,-0.16,-3.74
2007,2618,長榮航,-0.15,-4.14
2008,2618,長榮航,-10.15,-48.3
2009,2618,長榮航,-0.93,-9.85
2010,2618,長榮航,9.05,33.08
2011,2618,長榮航,1.11,0.53
2013,2618,長榮航,1.69,3.21
2014,2618,長榮航,0.32,-1.98
2015,2618,長榮航,4.55,14.53
2016,2618,長榮航,2.64,6.93
2017,2618,長榮航,3.58,10.22
2018,2618,長榮航,3.76,10.74
2019,2618,長榮航,3.07,6.55
2020,2618,長榮航,0.22,         -4.23
2021,2618,長榮航,3.02,7.89
2022,2618,長榮航,          3.37,          8.28
