年份,公司代號,公司名稱,ROE,ROA
1990,1710,東聯,-6.21,         -7.08
1991,1710,東聯,0.81,0.92
1992,1710,東聯,-3.62,-4.21
1993,1710,東聯,-1.15,-2.03
1994,1710,東聯,3.88,3.63
1995,1710,東聯,14.86,17.29
1996,1710,東聯,8.45,8.72
2000,1710,東聯,5.37,7.08
2001,1710,東聯,          5.69,7.96
2002,1710,東聯,9.29,12.72
2003,1710,東聯,17.4,22.15
2004,1710,東聯,22.56,27.14
2005,1710,東聯,17.86,20.09
2006,1710,東聯,10.66,11.84
2007,1710,東聯,15.59,17.81
2008,1710,東聯,7.65,8.66
2009,1710,東聯,10.01,11.05
2010,1710,東聯,13.5,14.85
2011,1710,東聯,16.66,18.69
2013,1710,東聯,5.67,7.54
2014,1710,東聯,0.41,0.34
2015,1710,東聯,-0.66,-1.68
2016,1710,東聯,-1.14,-3.82
2017,1710,東聯,7.55,14.15
2018,1710,東聯,7.41,13.09
2019,1710,東聯,0.06,-1.45
2020,1710,東聯,-3.32,         -9.30
2021,1710,東聯,4.11,7.7
2022,1710,東聯,         -1.59,         -5.23
