年份,公司代號,公司名稱,ROE,ROA
2002,3296,勝德,21.16,36.34
2003,3296,勝德,22.7,38.33
2004,3296,勝德,21.24,33.92
2005,3296,勝德,20.97,31.79
2006,3296,勝德,17.07,25.65
2007,3296,勝德,16.96,25.66
2008,3296,勝德,6.63,9.69
2009,3296,勝德,10.98,15.84
2010,3296,勝德,5.41,7.91
2011,3296,勝德,-4.35,-7.0
2013,3296,勝德,-2.59,-3.51
2014,3296,勝德,1.57,2.25
2015,3296,勝德,0.35,0.5
2016,3296,勝德,5.0,7.18
2017,3296,勝德,0.12,0.14
2018,3296,勝德,4.2,6.3
2019,3296,勝德,1.24,1.68
2020,3296,勝德,1.06,          1.52
2021,3296,勝德,-5.66,-11.56
2022,3296,勝德,         -1.84,         -5.30
