年份,公司代號,公司名稱,ROE,ROA
1996,2467,志聖,5.79,16.14
1997,2467,志聖,10.74,23.41
1998,2467,志聖,11.31,19.17
1999,2467,志聖,13.65,21.87
2000,2467,志聖,15.78,22.58
2001,2467,志聖,          9.16,11.87
2002,2467,志聖,5.76,7.28
2003,2467,志聖,3.64,4.87
2004,2467,志聖,11.32,15.4
2005,2467,志聖,11.83,15.74
2006,2467,志聖,14.47,20.25
2007,2467,志聖,8.54,12.52
2008,2467,志聖,5.66,8.68
2009,2467,志聖,3.8,5.75
2010,2467,志聖,11.42,17.66
2011,2467,志聖,9.49,15.19
2013,2467,志聖,5.66,10.59
2014,2467,志聖,4.5,8.56
2015,2467,志聖,-8.08,-19.56
2016,2467,志聖,4.28,10.16
2017,2467,志聖,7.48,18.2
2018,2467,志聖,9.37,21.83
2019,2467,志聖,5.41,11.64
2020,2467,志聖,6.93,         16.46
2021,2467,志聖,9.61,23.04
2022,2467,志聖,          9.66,         22.03
