年份,公司代號,公司名稱,ROE,ROA
1990,1437,勤益控,1.88,          0.06
1991,1437,勤益控,2.59,2.9
1992,1437,勤益控,2.46,2.74
1993,1437,勤益控,2.91,3.36
1994,1437,勤益控,0.92,0.47
1995,1437,勤益控,2.22,2.42
1996,1437,勤益控,2.08,2.47
1997,1437,勤益控,4.37,5.31
2001,1437,勤益控,         -3.00,-6.47
2002,1437,勤益控,2.46,3.07
2003,1437,勤益控,-4.32,-8.83
2004,1437,勤益控,3.94,5.69
2005,1437,勤益控,-7.8,-15.34
2006,1437,勤益控,7.77,12.09
2007,1437,勤益控,4.76,6.11
2008,1437,勤益控,-4.83,-7.12
2009,1437,勤益控,1.2,1.33
2010,1437,勤益控,3.7,4.47
2011,1437,勤益控,-2.66,-3.5
2013,1437,勤益控,-5.38,-12.52
2014,1437,勤益控,3.03,4.69
2015,1437,勤益控,1.28,1.12
2016,1437,勤益控,5.28,8.83
2017,1437,勤益控,3.85,5.94
2018,1437,勤益控,2.94,4.46
2019,1437,勤益控,8.81,14.59
2020,1437,勤益控,3.56,          5.52
2021,1437,勤益控,4.3,6.94
2022,1437,勤益控,          3.74,          5.85
