年份,公司代號,公司名稱,ROE,ROA
2000,2453,凌群,7.1,11.0
2001,2453,凌群,          5.70,8.8
2002,2453,凌群,-0.5,-0.8
2003,2453,凌群,1.4,1.9
2004,2453,凌群,1.2,1.6
2005,2453,凌群,-0.8,-1.1
2006,2453,凌群,-2.7,-3.8
2007,2453,凌群,1.0,1.2
2008,2453,凌群,1.1,1.5
2009,2453,凌群,1.5,2.4
2010,2453,凌群,2.4,3.8
2011,2453,凌群,2.6,4.0
2013,2453,凌群,3.0,5.65
2014,2453,凌群,2.95,5.66
2015,2453,凌群,2.02,3.71
2016,2453,凌群,2.04,3.59
2017,2453,凌群,2.7,4.97
2018,2453,凌群,1.9,3.43
2019,2453,凌群,3.58,7.0
2020,2453,凌群,4.05,          9.00
2021,2453,凌群,5.14,11.11
2022,2453,凌群,          5.80,         12.16
