年份,公司代號,公司名稱,ROE,ROA
1997,6141,柏承,1.02,6.47
1998,6141,柏承,15.72,34.99
1999,6141,柏承,12.49,19.64
2000,6141,柏承,24.37,43.61
2001,6141,柏承,         16.75,31.52
2002,6141,柏承,14.28,25.23
2003,6141,柏承,15.15,25.12
2004,6141,柏承,10.88,18.18
2005,6141,柏承,9.47,15.83
2006,6141,柏承,16.45,24.14
2007,6141,柏承,17.89,23.57
2008,6141,柏承,7.57,9.56
2009,6141,柏承,4.1,5.1
2010,6141,柏承,6.99,8.81
2011,6141,柏承,4.74,5.88
2013,6141,柏承,-0.7,-3.09
2014,6141,柏承,1.06,0.55
2015,6141,柏承,-7.6,-19.11
2016,6141,柏承,-2.51,-7.99
2017,6141,柏承,5.71,12.27
2018,6141,柏承,-1.15,-5.16
2019,6141,柏承,13.86,29.76
2020,6141,柏承,8.09,         14.80
2021,6141,柏承,7.12,14.24
2022,6141,柏承,         -1.49,         -6.12
