年份,公司代號,公司名稱,ROE,ROA
1998,3044,健鼎,1.5,1.34
1999,3044,健鼎,5.42,7.89
2000,3044,健鼎,10.18,19.97
2001,3044,健鼎,         11.24,19.87
2002,3044,健鼎,9.82,16.32
2003,3044,健鼎,9.85,18.51
2004,3044,健鼎,13.5,25.65
2005,3044,健鼎,19.85,35.49
2006,3044,健鼎,22.6,35.93
2007,3044,健鼎,23.68,34.48
2008,3044,健鼎,13.03,19.38
2009,3044,健鼎,12.79,19.09
2010,3044,健鼎,18.25,27.07
2011,3044,健鼎,13.19,19.38
2013,3044,健鼎,5.11,9.4
2014,3044,健鼎,5.11,9.73
2015,3044,健鼎,4.85,9.74
2016,3044,健鼎,5.88,12.04
2017,3044,健鼎,6.81,14.48
2018,3044,健鼎,7.34,15.64
2019,3044,健鼎,8.71,18.13
2020,3044,健鼎,8.45,         17.44
2021,3044,健鼎,7.42,15.75
2022,3044,健鼎,          7.91,         15.40
