年份,公司代號,公司名稱,ROE,ROA
1990,9904,寶成,18.08,         32.14
1991,9904,寶成,9.03,14.27
1992,9904,寶成,8.34,13.38
1993,9904,寶成,10.36,15.98
1994,9904,寶成,10.77,15.22
1995,9904,寶成,10.76,15.2
1996,9904,寶成,16.48,26.18
1997,9904,寶成,21.14,36.13
1998,9904,寶成,16.78,22.62
1999,9904,寶成,17.56,20.66
2000,9904,寶成,9.83,11.93
2001,9904,寶成,         11.05,13.78
2002,9904,寶成,12.98,16.23
2003,9904,寶成,15.12,21.68
2004,9904,寶成,8.66,13.63
2005,9904,寶成,8.92,13.2
2006,9904,寶成,11.31,16.32
2007,9904,寶成,8.45,11.88
2008,9904,寶成,8.37,11.61
2009,9904,寶成,10.59,14.75
2010,9904,寶成,11.15,15.07
2011,9904,寶成,7.76,10.51
2013,9904,寶成,7.29,12.51
2014,9904,寶成,5.66,9.56
2015,9904,寶成,6.33,10.81
2016,9904,寶成,8.38,14.47
2017,9904,寶成,7.84,13.52
2018,9904,寶成,6.13,10.54
2019,9904,寶成,6.17,10.52
2020,9904,寶成,1.59,          2.00
2021,9904,寶成,4.91,8.12
2022,9904,寶成,          5.47,          8.66
