年份,公司代號,公司名稱,ROE,ROA
2001,8105,凌巨,         -5.92,-13.64
2002,8105,凌巨,3.12,4.3
2003,8105,凌巨,2.06,2.9
2004,8105,凌巨,7.47,15.87
2005,8105,凌巨,11.7,23.44
2006,8105,凌巨,10.3,17.81
2007,8105,凌巨,6.47,11.59
2008,8105,凌巨,2.73,3.94
2009,8105,凌巨,-2.56,-4.42
2010,8105,凌巨,-2.18,-3.92
2011,8105,凌巨,-3.36,-7.32
2013,8105,凌巨,-4.17,-8.23
2014,8105,凌巨,1.04,1.21
2015,8105,凌巨,3.88,5.97
2016,8105,凌巨,5.17,8.05
2017,8105,凌巨,4.6,7.32
2018,8105,凌巨,-0.72,-1.58
2019,8105,凌巨,-1.41,-2.46
2020,8105,凌巨,-9.09,        -14.48
2021,8105,凌巨,0.89,1.31
2022,8105,凌巨,          5.09,          8.22
