年份,公司代號,公司名稱,ROE,ROA
1996,1725,元禎,4.64,4.08
1997,1725,元禎,5.85,9.71
1998,1725,元禎,5.18,8.57
1999,1725,元禎,6.08,10.67
2000,1725,元禎,5.29,8.48
2001,1725,元禎,          4.41,8.06
2002,1725,元禎,5.27,12.94
2003,1725,元禎,4.68,13.82
2004,1725,元禎,6.14,20.35
2005,1725,元禎,6.24,17.61
2006,1725,元禎,7.0,16.69
2007,1725,元禎,6.07,14.11
2008,1725,元禎,6.52,15.08
2009,1725,元禎,4.13,9.04
2010,1725,元禎,5.34,11.39
2011,1725,元禎,3.1,6.12
2013,1725,元禎,2.95,5.78
2014,1725,元禎,3.8,7.05
2015,1725,元禎,4.56,8.13
2016,1725,元禎,4.48,8.17
2017,1725,元禎,4.17,7.76
2018,1725,元禎,4.16,7.25
2019,1725,元禎,3.74,5.88
2020,1725,元禎,4.73,          7.13
2021,1725,元禎,5.32,8.22
2022,1725,元禎,          3.84,          5.96
