年份,公司代號,公司名稱,ROE,ROA
1993,2347,聯強,5.83,12.63
1994,2347,聯強,6.15,12.78
1995,2347,聯強,7.7,17.69
1996,2347,聯強,12.88,33.41
1997,2347,聯強,11.47,20.77
1998,2347,聯強,11.64,17.53
1999,2347,聯強,11.85,16.95
2000,2347,聯強,8.04,11.36
2001,2347,聯強,          6.80,9.84
2002,2347,聯強,10.22,15.14
2003,2347,聯強,8.63,13.39
2004,2347,聯強,7.93,12.72
2005,2347,聯強,8.87,13.86
2006,2347,聯強,7.75,11.88
2007,2347,聯強,9.68,15.29
2008,2347,聯強,7.62,12.11
2009,2347,聯強,9.91,16.17
2010,2347,聯強,10.38,16.13
2011,2347,聯強,12.4,18.45
2013,2347,聯強,4.76,12.65
2014,2347,聯強,4.3,11.43
2015,2347,聯強,2.86,7.23
2016,2347,聯強,4.13,11.42
2017,2347,聯強,4.95,13.94
2018,2347,聯強,5.01,14.25
2019,2347,聯強,5.01,14.0
2020,2347,聯強,5.58,         15.63
2021,2347,聯強,9.78,29.23
2022,2347,聯強,          7.99,         23.13
