年份,公司代號,公司名稱,ROE,ROA
1995,2379,瑞昱,13.73,18.94
1996,2379,瑞昱,21.22,31.87
1997,2379,瑞昱,30.49,42.75
1998,2379,瑞昱,20.1,24.31
1999,2379,瑞昱,22.22,26.49
2000,2379,瑞昱,31.77,40.81
2001,2379,瑞昱,         28.05,37.22
2002,2379,瑞昱,21.63,25.77
2003,2379,瑞昱,14.35,16.23
2004,2379,瑞昱,8.65,9.73
2005,2379,瑞昱,9.62,10.69
2006,2379,瑞昱,12.56,13.97
2007,2379,瑞昱,8.57,10.12
2008,2379,瑞昱,4.5,5.55
2009,2379,瑞昱,10.24,12.96
2010,2379,瑞昱,7.66,9.85
2011,2379,瑞昱,7.37,9.34
2013,2379,瑞昱,10.16,16.31
2014,2379,瑞昱,10.56,18.69
2015,2379,瑞昱,5.77,10.93
2016,2379,瑞昱,6.2,13.47
2017,2379,瑞昱,6.56,15.18
2018,2379,瑞昱,8.1,18.71
2019,2379,瑞昱,10.54,26.17
2020,2379,瑞昱,11.79,         31.01
2021,2379,瑞昱,18.9,49.26
2022,2379,瑞昱,         15.27,         37.80
