年份,公司代號,公司名稱,ROE,ROA
1998,3047,訊舟,5.12,8.46
1999,3047,訊舟,9.48,16.11
2000,3047,訊舟,8.25,16.44
2001,3047,訊舟,         10.06,20.82
2002,3047,訊舟,4.03,9.0
2003,3047,訊舟,-2.02,-7.61
2004,3047,訊舟,-0.91,-4.23
2005,3047,訊舟,6.61,11.78
2006,3047,訊舟,7.85,13.48
2007,3047,訊舟,14.11,25.06
2008,3047,訊舟,3.79,5.99
2009,3047,訊舟,1.78,2.27
2010,3047,訊舟,2.79,3.99
2011,3047,訊舟,-4.07,-6.64
2013,3047,訊舟,3.27,5.51
2014,3047,訊舟,3.52,5.59
2015,3047,訊舟,3.24,5.35
2016,3047,訊舟,2.09,3.45
2017,3047,訊舟,-1.68,-5.81
2018,3047,訊舟,2.26,5.26
2019,3047,訊舟,2.69,6.23
2020,3047,訊舟,3.3,          8.17
2021,3047,訊舟,-0.89,-2.44
2022,3047,訊舟,          3.55,          8.33
