年份,公司代號,公司名稱,ROE,ROA
1999,5534,長虹,3.34,8.27
2000,5534,長虹,4.59,12.18
2001,5534,長虹,          6.74,16.79
2002,5534,長虹,5.76,12.17
2003,5534,長虹,5.41,11.9
2004,5534,長虹,8.92,25.95
2005,5534,長虹,9.35,32.75
2006,5534,長虹,10.79,40.22
2007,5534,長虹,9.25,30.37
2008,5534,長虹,10.31,28.62
2009,5534,長虹,7.99,19.66
2010,5534,長虹,18.49,37.0
2011,5534,長虹,11.39,26.5
2013,5534,長虹,24.2,59.04
2014,5534,長虹,7.52,18.82
2015,5534,長虹,2.56,6.73
2016,5534,長虹,9.78,25.0
2017,5534,長虹,10.65,23.36
2018,5534,長虹,14.37,27.42
2019,5534,長虹,10.88,18.51
2020,5534,長虹,6.75,         14.51
2021,5534,長虹,3.43,6.98
2022,5534,長虹,          6.49,         14.95
