年份,公司代號,公司名稱,ROE,ROA
1994,2031,新光鋼,6.37,11.17
1995,2031,新光鋼,7.63,14.04
1996,2031,新光鋼,5.24,4.4
1997,2031,新光鋼,5.25,5.88
1998,2031,新光鋼,6.6,8.67
1999,2031,新光鋼,5.62,8.05
2000,2031,新光鋼,4.55,3.69
2001,2031,新光鋼,          2.28,0.68
2002,2031,新光鋼,13.59,25.22
2003,2031,新光鋼,13.25,24.22
2004,2031,新光鋼,20.84,40.79
2005,2031,新光鋼,1.27,0.15
2006,2031,新光鋼,7.91,15.11
2007,2031,新光鋼,9.6,18.08
2008,2031,新光鋼,5.26,9.09
2009,2031,新光鋼,-1.16,-4.6
2010,2031,新光鋼,6.73,12.48
2011,2031,新光鋼,2.21,3.28
2013,2031,新光鋼,3.4,6.19
2014,2031,新光鋼,2.53,4.05
2015,2031,新光鋼,-3.6,-8.48
2016,2031,新光鋼,7.37,15.41
2017,2031,新光鋼,9.06,17.82
2018,2031,新光鋼,7.16,14.58
2019,2031,新光鋼,1.51,1.68
2020,2031,新光鋼,5.27,         11.34
2021,2031,新光鋼,12.49,28.12
2022,2031,新光鋼,          2.36,          3.85
