年份,公司代號,公司名稱,ROE,ROA
2001,6283,淳安,         21.70,30.5
2002,6283,淳安,21.0,29.8
2003,6283,淳安,16.2,24.8
2004,6283,淳安,14.5,27.0
2005,6283,淳安,6.4,11.4
2006,6283,淳安,9.23,13.26
2007,6283,淳安,11.08,15.3
2008,6283,淳安,2.25,2.58
2009,6283,淳安,-7.28,-12.23
2010,6283,淳安,0.16,0.16
2011,6283,淳安,-11.58,-16.5
2013,6283,淳安,-9.25,-20.14
2014,6283,淳安,-25.23,-53.94
2015,6283,淳安,1.28,1.79
2017,6283,淳安,2.17,2.52
2018,6283,淳安,1.39,1.57
2019,6283,淳安,1.14,1.29
2020,6283,淳安,-2.68,         -3.80
2021,6283,淳安,-5.83,-9.01
2022,6283,淳安,         -2.94,         -4.59
