年份,公司代號,公司名稱,ROE,ROA
1993,2362,藍天,8.69,18.24
1994,2362,藍天,10.42,19.56
1995,2362,藍天,10.18,17.77
1996,2362,藍天,42.39,79.41
1998,2362,藍天,2.24,2.72
1999,2362,藍天,-0.6,-1.84
2000,2362,藍天,-4.98,-9.88
2001,2362,藍天,          6.31,8.61
2002,2362,藍天,2.6,3.1
2003,2362,藍天,7.4,10.21
2004,2362,藍天,4.99,6.72
2005,2362,藍天,-4.31,-7.36
2006,2362,藍天,3.52,3.51
2007,2362,藍天,13.21,18.96
2008,2362,藍天,9.07,12.71
2009,2362,藍天,8.29,11.31
2010,2362,藍天,6.84,9.62
2011,2362,藍天,8.74,15.96
2013,2362,藍天,7.27,25.18
2014,2362,藍天,2.84,4.73
2015,2362,藍天,1.58,2.07
2016,2362,藍天,1.23,1.3
2017,2362,藍天,1.4,1.68
2018,2362,藍天,1.94,3.46
2019,2362,藍天,1.84,2.62
2020,2362,藍天,1.43,          1.67
2021,2362,藍天,2.49,4.43
2022,2362,藍天,          1.53,          1.98
