年份,公司代號,公司名稱,ROE,ROA
1997,2484,希華,15.12,18.95
1998,2484,希華,7.33,8.56
1999,2484,希華,12.02,14.79
2000,2484,希華,11.09,14.23
2001,2484,希華,          2.86,2.97
2002,2484,希華,-0.84,-2.25
2003,2484,希華,4.43,5.11
2004,2484,希華,3.9,5.16
2005,2484,希華,4.31,5.94
2006,2484,希華,6.64,9.14
2007,2484,希華,6.89,8.8
2008,2484,希華,4.14,4.76
2009,2484,希華,-6.84,-10.02
2010,2484,希華,1.88,1.91
2011,2484,希華,-2.01,-3.34
2013,2484,希華,3.96,5.43
2014,2484,希華,7.6,10.85
2015,2484,希華,6.39,8.94
2016,2484,希華,5.92,8.21
2017,2484,希華,4.32,5.85
2018,2484,希華,6.43,8.68
2019,2484,希華,3.14,4.03
2020,2484,希華,3.9,          5.32
2021,2484,希華,7.86,11.35
2022,2484,希華,         13.46,         18.95
