年份,公司代號,公司名稱,ROE,ROA
1990,1903,士紙,1.23,         -0.77
1991,1903,士紙,2.95,0.88
1992,1903,士紙,3.54,4.1
1993,1903,士紙,3.21,2.62
1994,1903,士紙,4.79,6.08
1995,1903,士紙,-3.19,-9.04
1996,1903,士紙,4.72,6.38
1997,1903,士紙,1.68,1.49
1998,1903,士紙,-6.85,-15.28
1999,1903,士紙,0.07,-1.12
2000,1903,士紙,5.13,10.2
2001,1903,士紙,         -4.63,-11.29
2002,1903,士紙,0.97,1.34
2003,1903,士紙,-2.95,-5.36
2004,1903,士紙,-5.24,-7.03
2005,1903,士紙,-4.89,-6.76
2006,1903,士紙,-0.31,-0.72
2007,1903,士紙,4.69,5.54
2008,1903,士紙,-1.49,-2.55
2009,1903,士紙,-4.38,-5.61
2010,1903,士紙,-3.15,-3.98
2011,1903,士紙,-1.55,-2.06
2013,1903,士紙,-2.21,-4.47
2014,1903,士紙,-5.99,-12.06
2015,1903,士紙,-2.01,-4.63
2016,1903,士紙,-2.45,-5.93
2017,1903,士紙,-2.24,-5.82
2018,1903,士紙,-2.18,-6.06
2019,1903,士紙,-2.35,-6.99
2020,1903,士紙,-1.56,         -4.57
2021,1903,士紙,1.07,1.42
2022,1903,士紙,          2.20,          3.11
