年份,公司代號,公司名稱,ROE,ROA
1997,2489,瑞軒,6.1,9.82
1998,2489,瑞軒,11.06,16.32
1999,2489,瑞軒,8.82,13.98
2000,2489,瑞軒,11.19,16.1
2001,2489,瑞軒,         11.74,17.7
2002,2489,瑞軒,7.64,12.59
2003,2489,瑞軒,5.7,9.21
2004,2489,瑞軒,1.65,1.9
2005,2489,瑞軒,-1.64,-4.5
2006,2489,瑞軒,6.63,15.7
2007,2489,瑞軒,8.3,21.13
2008,2489,瑞軒,4.18,9.35
2009,2489,瑞軒,6.82,16.67
2010,2489,瑞軒,5.7,14.02
2011,2489,瑞軒,3.46,8.12
2013,2489,瑞軒,4.28,7.65
2014,2489,瑞軒,3.8,5.79
2015,2489,瑞軒,8.28,12.17
2016,2489,瑞軒,7.34,11.32
2017,2489,瑞軒,-4.1,-6.76
2018,2489,瑞軒,1.02,1.31
2019,2489,瑞軒,0.07,0.04
2020,2489,瑞軒,3.19,          4.64
2021,2489,瑞軒,21.94,34.14
2022,2489,瑞軒,        -11.94,        -18.26
