年份,公司代號,公司名稱,ROE,ROA
1990,2108,南帝,5.65,          4.83
1991,2108,南帝,11.2,14.86
1992,2108,南帝,10.81,14.74
1993,2108,南帝,10.85,14.7
1994,2108,南帝,8.47,11.4
1995,2108,南帝,3.8,5.31
1996,2108,南帝,3.5,4.0
2000,2108,南帝,4.92,6.14
2001,2108,南帝,         10.39,12.89
2002,2108,南帝,8.69,10.55
2003,2108,南帝,4.21,5.04
2004,2108,南帝,4.28,5.13
2005,2108,南帝,9.06,10.89
2006,2108,南帝,8.92,10.67
2007,2108,南帝,17.44,20.61
2008,2108,南帝,11.3,13.29
2009,2108,南帝,10.19,11.96
2010,2108,南帝,9.44,11.05
2011,2108,南帝,14.9,17.42
2013,2108,南帝,4.41,5.68
2014,2108,南帝,3.38,4.29
2015,2108,南帝,14.58,18.04
2016,2108,南帝,9.49,11.5
2017,2108,南帝,10.26,12.52
2018,2108,南帝,16.78,20.56
2019,2108,南帝,14.25,17.39
2020,2108,南帝,28.89,         36.14
2021,2108,南帝,42.64,53.45
2022,2108,南帝,          7.22,          8.58
