年份,公司代號,公司名稱,ROE,ROA
1990,1904,正隆,1.21,          1.33
1991,1904,正隆,3.1,2.63
1992,1904,正隆,2.29,0.78
1993,1904,正隆,6.2,9.59
1994,1904,正隆,9.96,17.69
1995,1904,正隆,5.75,9.93
1996,1904,正隆,3.4,4.23
1997,1904,正隆,3.05,2.88
1998,1904,正隆,1.92,0.56
1999,1904,正隆,5.64,8.79
2000,1904,正隆,5.13,7.96
2001,1904,正隆,          3.00,3.0
2002,1904,正隆,4.0,7.0
2003,1904,正隆,5.72,8.92
2004,1904,正隆,5.0,7.0
2005,1904,正隆,2.0,3.0
2006,1904,正隆,3.46,4.88
2007,1904,正隆,2.68,3.8
2008,1904,正隆,0.8,0.59
2009,1904,正隆,4.5,6.92
2010,1904,正隆,5.78,9.3
2011,1904,正隆,3.06,5.26
2013,1904,正隆,2.77,4.96
2014,1904,正隆,1.18,1.08
2015,1904,正隆,2.16,3.67
2016,1904,正隆,2.76,5.28
2017,1904,正隆,3.14,6.3
2018,1904,正隆,7.37,17.6
2019,1904,正隆,4.73,9.44
2020,1904,正隆,6.83,         14.30
2021,1904,正隆,6.67,14.54
2022,1904,正隆,          4.52,          9.39
