年份,公司代號,公司名稱,ROE,ROA
1998,1526,日馳,8.92,13.15
1999,1526,日馳,6.29,10.25
2000,1526,日馳,-0.28,-2.18
2001,1526,日馳,         -6.16,-13.03
2002,1526,日馳,-7.52,-18.27
2003,1526,日馳,-0.5,-3.49
2004,1526,日馳,-5.59,-14.41
2005,1526,日馳,-13.64,-33.25
2006,1526,日馳,-4.24,-12.62
2007,1526,日馳,-2.01,-7.4
2008,1526,日馳,2.67,3.32
2009,1526,日馳,-1.41,-4.92
2010,1526,日馳,1.24,1.03
2011,1526,日馳,3.5,6.25
2013,1526,日馳,4.06,7.55
2014,1526,日馳,5.71,10.64
2015,1526,日馳,6.63,12.74
2016,1526,日馳,6.96,14.15
2017,1526,日馳,7.94,19.01
2018,1526,日馳,7.34,15.59
2019,1526,日馳,5.0,8.06
2020,1526,日馳,10.41,         16.71
2021,1526,日馳,11.36,21.72
2022,1526,日馳,         13.76,         28.43
