年份,公司代號,公司名稱,ROE,ROA
1990,2702,華園,14.18,         23.35
1991,2702,華園,6.91,9.14
1992,2702,華園,-1.66,-2.8
1993,2702,華園,-7.55,-9.55
1994,2702,華園,3.56,4.16
2001,2702,華園,         -0.96,-3.43
2002,2702,華園,0.16,-0.99
2003,2702,華園,-0.38,-1.34
2004,2702,華園,-0.52,-1.16
2005,2702,華園,2.78,3.27
2006,2702,華園,3.55,4.32
2007,2702,華園,3.91,5.09
2008,2702,華園,2.67,3.31
2009,2702,華園,4.75,6.51
2010,2702,華園,6.18,8.39
2011,2702,華園,6.17,8.1
2013,2702,華園,2.45,3.74
2014,2702,華園,3.27,5.81
2015,2702,華園,2.54,4.84
2016,2702,華園,2.61,5.02
2017,2702,華園,1.52,-0.19
2018,2702,華園,5.81,17.45
2019,2702,華園,2.28,-0.36
2020,2702,華園,-5.21,        -24.01
2021,2702,華園,24.51,98.18
2022,2702,華園,          6.54,         13.52
