年份,公司代號,公司名稱,ROE,ROA
2001,9955,佳龍,          5.34,7.36
2002,9955,佳龍,13.97,19.69
2003,9955,佳龍,11.92,16.56
2004,9955,佳龍,12.68,17.92
2005,9955,佳龍,12.92,17.32
2006,9955,佳龍,13.49,16.17
2007,9955,佳龍,14.6,17.74
2008,9955,佳龍,8.07,10.15
2009,9955,佳龍,8.58,10.44
2010,9955,佳龍,7.36,9.15
2011,9955,佳龍,-0.65,-1.07
2013,9955,佳龍,-1.69,-2.69
2014,9955,佳龍,1.21,1.61
2015,9955,佳龍,-3.33,-5.57
2016,9955,佳龍,-3.34,-5.89
2017,9955,佳龍,-2.08,-4.27
2018,9955,佳龍,-7.75,-14.65
2019,9955,佳龍,0.75,0.59
2020,9955,佳龍,-3.84,         -7.47
2021,9955,佳龍,-3.03,-6.38
2022,9955,佳龍,         -2.88,         -6.84
